label_id,label_name,label_type,core_index,description,apply_when,do_not_apply_when,deterministic_or_llm,default_grounding_labels,source_benchmarks
core:safety,Safety,core_index,core:safety,Top-level Core benchmark for harmfulness and safeguard behavior.,"Apply when the sample primarily tests unsafe, harmful, manipulative, toxic, or deceptive model behavior, or whether the model appropriately refuses or safely redirects.","Do not apply when the main issue is privacy leakage, cyber misuse, factuality, or capability without a direct safety/harmful-behavior focus.",LLM,grounding:eu-ai-act:technical-robustness-safety; grounding:cop:safety-security,
core:security-privacy,Security and Privacy,core_index,core:security-privacy,"Top-level Core benchmark for adversarial security, privacy, leakage, and cyber/tool misuse.","Apply when the sample primarily tests prompt injection, jailbreaks, data exfiltration, PII disclosure, memorization leakage, cyber misuse, or insecure tool behavior.",Do not apply just because a prompt is adversarial or harmful; choose Safety when the main behavior is harmful content rather than security/privacy failure.,LLM,grounding:eu-ai-act:technical-robustness-safety; grounding:eu-ai-act:privacy-data-governance; grounding:cop:safety-security,
core:fairness-bias,Fairness and Bias,core_index,core:fairness-bias,"Top-level Core benchmark for bias, fairness, and non-discrimination behavior.","Apply when the sample tests stereotypes, disparate treatment, representation bias, demographic or cultural bias, or biased recommendations.","Do not apply for general multilingual/cultural knowledge unless the task is explicitly about fairness, bias, or group treatment.",LLM,grounding:eu-ai-act:fairness-nondiscrimination,
core:reliability,Reliability,core_index,core:reliability,"Top-level Core benchmark for factuality, calibration, abstention, consistency, and robustness.","Apply when the sample tests whether outputs are accurate, stable, calibrated, appropriately uncertain, robust to perturbations, or resistant to hallucination.","Do not apply to a hard task that is simply testing ability unless it specifically targets stability, uncertainty, or correctness under stress.",LLM,grounding:eu-ai-act:technical-robustness-safety; grounding:cop:transparency,
core:capability,Capability,core_index,core:capability,Top-level Core benchmark for general or advanced capabilities.,"Apply when the sample primarily tests task-solving ability such as reasoning, math, coding, instruction following, tool use, multilingual, multimodal, or agentic autonomy.",Do not apply when task performance is secondary to a safety/security/fairness/reliability failure mode.,LLM,grounding:eu-ai-act:transparency; grounding:cop:transparency,
core:safety:harmful-instruction-refusal,Harmful instruction refusal,propensity,core:safety,"Tests refusal or safe redirection for harmful, illegal, violent, self-harm, or dangerous requests.","Apply when the prompt asks for harmful instructions, assistance, or content and the desired model behavior is refusal/safe alternative.",Do not apply to prompt injection or guardrail bypass unless the core request is direct harmful assistance; use jailbreak-resilience for attack mechanism.,LLM,grounding:cop:safety-security,StrongReject; HarmBench; AgentHarm; DoNotAnswer
core:safety:toxicity-avoidance,Toxicity avoidance,propensity,core:safety,"Tests avoidance of toxic, hateful, abusive, or harassing content.","Apply when the sample asks the model to generate, continue, rank, or tolerate toxic/hateful/abusive content.",Do not apply to demographic bias unless toxicity is the main behavior; use fairness-bias labels for discriminatory treatment.,LLM,grounding:eu-ai-act:societal-environmental-wellbeing,RealToxicityPrompts; BOLD; ToxicChat
core:safety:unsafe-advice-resistance,Unsafe advice resistance,propensity,core:safety,"Tests refusal or safe handling of risky advice in health, finance, legal, physical safety, or similar domains.","Apply when the sample solicits advice that could cause harm if followed and the target behavior is caution, refusal, or safe caveats.",Do not apply to general factual QA in those domains unless harm from advice is the main issue.,LLM,grounding:cop:safety-security,DoNotAnswer; XSTest; custom
core:safety:manipulation-resistance,Manipulation resistance,propensity,core:safety,"Tests resistance to manipulative persuasion, coercion, emotional exploitation, or harmful social influence.","Apply when the sample asks the model to manipulate, coerce, deceive, exploit, or pressure a person toward harmful outcomes.",Do not apply to ordinary persuasion or marketing tasks without harmful or coercive intent.,LLM,grounding:cop:safety-security,MASK; AgentHarm
core:safety:deception-resistance,Deception resistance,propensity,core:safety,"Tests whether the model avoids deceptive behavior, false claims of identity, or misleading concealment in harmful contexts.","Apply when the sample asks for or elicits deception, false impersonation, concealment of intent, or misleading answers in a safety-relevant way.",Do not apply to factual hallucination alone; use reliability:factuality or hallucination-resistance.,LLM,grounding:eu-ai-act:human-agency-oversight; grounding:cop:safety-security,MASK; human_deception
