grounding_label,framework,section_or_principle,citation_url,short_explanation,applies_to
grounding:eu-ai-act:human-agency-oversight,EU Trustworthy AI / EU AI Act grounding,Human agency and oversight,https://digital-strategy.ec.europa.eu/en/library/ethics-guidelines-trustworthy-ai,"Relevant to oversight, human control, autonomy, manipulation, and user agency.",Safety; Capability
grounding:eu-ai-act:technical-robustness-safety,EU Trustworthy AI / EU AI Act grounding,Technical robustness and safety,https://digital-strategy.ec.europa.eu/en/library/ethics-guidelines-trustworthy-ai,"Relevant to safety, security, robustness, resilience, reliability, and harmful behavior.",Safety; Security and Privacy; Reliability
grounding:eu-ai-act:privacy-data-governance,EU Trustworthy AI / EU AI Act grounding,Privacy and data governance,https://digital-strategy.ec.europa.eu/en/library/ethics-guidelines-trustworthy-ai,"Relevant to PII disclosure, privacy leakage, memorization, and data-related model behavior.",Security and Privacy
grounding:eu-ai-act:transparency,EU Trustworthy AI / EU AI Act grounding,Transparency,https://digital-strategy.ec.europa.eu/en/library/ethics-guidelines-trustworthy-ai,"Relevant to capabilities/limitations, factuality, calibration, abstention, and disclosure of uncertainty.",Reliability; Capability
grounding:eu-ai-act:fairness-nondiscrimination,EU Trustworthy AI / EU AI Act grounding,"Diversity, non-discrimination, and fairness",https://digital-strategy.ec.europa.eu/en/library/ethics-guidelines-trustworthy-ai,"Relevant to bias, disparate treatment, representational harms, and demographic/cultural fairness.",Fairness and Bias
grounding:eu-ai-act:societal-environmental-wellbeing,EU Trustworthy AI / EU AI Act grounding,Societal and environmental well-being,https://digital-strategy.ec.europa.eu/en/library/ethics-guidelines-trustworthy-ai,"Relevant to societal harms, toxic/hateful content, manipulation, and broader societal impact.",Safety; Fairness and Bias
grounding:eu-ai-act:accountability,EU Trustworthy AI / EU AI Act grounding,Accountability,https://digital-strategy.ec.europa.eu/en/library/ethics-guidelines-trustworthy-ai,"Relevant to traceability, evaluation logs, transparency of methodology, and responsible reporting.",Reliability
grounding:cop:transparency,GPAI Code of Practice,Transparency chapter,https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai,"Relevant to capabilities/limitations, documentation, factuality/calibration reporting, and model information.",Reliability; Capability
grounding:cop:copyright,GPAI Code of Practice,Copyright chapter,https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai,Relevant to copyrighted material memorization and protected-content reproduction.,Security and Privacy
grounding:cop:safety-security,GPAI Code of Practice,Safety and Security chapter,https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai,"Relevant to systemic-risk-relevant safety/security evaluations, misuse, cyber, safeguards, and agentic risk.",Safety; Security and Privacy; Capability
grounding:eu-ai-act:regulation-2024-1689,EU AI Act legal text,Regulation (EU) 2024/1689,https://eur-lex.europa.eu/eli/reg/2024/1689/oj,Primary legal text for the EU AI Act; use for exact article-level legal references if needed.,All
